run_start,attempt,direction,entry_time,entry_price,exit_time,exit_price,result,pnl,capital
2024-12-01,1,long,2024-12-01 00:00:00+09:00,2.024e-05,2024-12-03 22:00:00+09:00,1.94304e-05,SL,-27.0276,99972.9724
2024-12-01,2,short,2024-12-03 22:00:00+09:00,1.94304e-05,2024-12-04 06:00:00+09:00,2.0207616e-05,SL,-54.297600000000024,99918.6748
2024-12-01,3,long,2024-12-04 06:00:00+09:00,2.0207616e-05,2024-12-08 01:00:00+09:00,2.3440834559999998e-05,TP,214.98119999999986,100133.65599999999
2024-12-02,1,long,2024-12-02 00:00:00+09:00,2.188e-05,2024-12-02 13:00:00+09:00,2.10048e-05,SL,-27.027600000000042,99972.9724
2024-12-02,2,short,2024-12-02 13:00:00+09:00,2.10048e-05,2024-12-05 00:00:00+09:00,2.1844992e-05,SL,-54.29760000000004,99918.6748
2024-12-02,3,long,2024-12-05 00:00:00+09:00,2.1844992e-05,2024-12-05 01:00:00+09:00,2.097119232e-05,SL,-54.41880000000004,99864.256
2024-12-02,4,short,2024-12-05 01:00:00+09:00,2.097119232e-05,2024-12-05 03:00:00+09:00,2.18100400128e-05,SL,-109.28199999999988,99754.97399999999
2024-12-02,5,long,2024-12-05 03:00:00+09:00,2.18100400128e-05,2024-12-05 05:00:00+09:00,2.0937638412287996e-05,SL,-109.56480000000025,99645.40919999998
2024-12-02,6,short,2024-12-05 05:00:00+09:00,2.0937638412287996e-05,2024-12-05 08:00:00+09:00,2.1775143948779516e-05,SL,-220.0183999999999,99425.39079999998
2024-12-03,1,long,2024-12-03 00:00:00+09:00,2.016e-05,2024-12-03 22:00:00+09:00,1.93536e-05,SL,-27.02759999999999,99972.9724
2024-12-03,2,short,2024-12-03 22:00:00+09:00,1.93536e-05,2024-12-04 06:00:00+09:00,2.0127744e-05,SL,-54.29760000000002,99918.6748
2024-12-03,3,long,2024-12-04 06:00:00+09:00,2.0127744e-05,2024-12-08 01:00:00+09:00,2.334818304e-05,TP,214.98119999999997,100133.65599999999
2024-12-04,1,long,2024-12-04 00:00:00+09:00,1.965e-05,2024-12-05 14:00:00+09:00,2.2794e-05,TP,106.77239999999998,100106.7724
2024-12-05,1,long,2024-12-05 00:00:00+09:00,2.097e-05,2024-12-08 02:00:00+09:00,2.43252e-05,TP,106.77239999999993,100106.7724
2024-12-06,1,long,2024-12-06 00:00:00+09:00,2.224e-05,2024-12-06 04:00:00+09:00,2.1350399999999998e-05,SL,-27.027600000000074,99972.9724
2024-12-06,2,short,2024-12-06 04:00:00+09:00,2.1350399999999998e-05,2024-12-07 05:00:00+09:00,2.2204415999999997e-05,SL,-54.29759999999996,99918.6748
2024-12-06,3,long,2024-12-07 05:00:00+09:00,2.2204415999999997e-05,2024-12-07 12:00:00+09:00,2.1316239359999998e-05,SL,-54.41879999999997,99864.256
2024-12-06,4,short,2024-12-07 12:00:00+09:00,2.1316239359999998e-05,2024-12-07 19:00:00+09:00,2.21688889344e-05,SL,-109.28200000000011,99754.97399999999
2024-12-06,5,long,2024-12-07 19:00:00+09:00,2.21688889344e-05,2024-12-08 04:00:00+09:00,2.5715911163903998e-05,TP,432.83519999999993,100187.80919999999
2024-12-07,1,long,2024-12-07 00:00:00+09:00,2.121e-05,2024-12-08 03:00:00+09:00,2.4603599999999996e-05,TP,106.77239999999992,100106.7724
2024-12-08,1,long,2024-12-08 00:00:00+09:00,2.247e-05,2024-12-08 04:00:00+09:00,2.60652e-05,TP,106.77239999999996,100106.7724
2024-12-09,1,long,2024-12-09 00:00:00+09:00,2.49e-05,2024-12-10 06:00:00+09:00,2.3903999999999997e-05,SL,-27.027600000000056,99972.9724
2024-12-09,2,short,2024-12-10 06:00:00+09:00,2.3903999999999997e-05,2024-12-10 07:00:00+09:00,2.4860159999999997e-05,SL,-54.2976,99918.6748
