date,attempt,direction,entry_time,entry_price,exit_time,exit_price,result,pnl,capital
2024-06-01,1,long,2024-06-01 09:00:00+09:00,1.542e-05,2024-06-01 23:00:00+09:00,1.541e-05,EOD,-0.7014521400778904,99999.29854785991
2024-06-02,1,long,2024-06-02 09:00:00+09:00,1.485e-05,2024-06-02 23:00:00+09:00,1.497e-05,EOD,5.13846060606063,100004.43700846597
2024-06-03,1,long,2024-06-03 09:00:00+09:00,1.463e-05,2024-06-03 23:00:00+09:00,1.485e-05,EOD,9.79255037593983,100014.22955884192
2024-06-04,1,long,2024-06-04 09:00:00+09:00,1.444e-05,2024-06-04 23:00:00+09:00,1.44e-05,EOD,-2.1207855955679276,100012.10877324635
2024-06-05,1,long,2024-06-05 09:00:00+09:00,1.437e-05,2024-06-05 23:00:00+09:00,1.427e-05,EOD,-4.923132359081375,100007.18564088727
2024-06-06,1,long,2024-06-06 09:00:00+09:00,1.459e-05,2024-06-06 23:00:00+09:00,1.465e-05,EOD,2.483599451679284,100009.66924033895
2024-06-07,1,long,2024-06-07 09:00:00+09:00,1.435e-05,2024-06-07 21:00:00+09:00,1.3632499999999999e-05,SL,-33.717600000000054,99975.95164033894
2024-06-07,2,short,2024-06-07 21:00:00+09:00,1.3632499999999999e-05,2024-06-07 23:00:00+09:00,1.427e-05,EOD,-63.387407445443074,99912.5642328935
2024-06-08,1,long,2024-06-08 09:00:00+09:00,1.279e-05,2024-06-08 23:00:00+09:00,1.26e-05,EOD,-10.205832994526968,99902.35839989898
2024-06-09,1,long,2024-06-09 09:00:00+09:00,1.211e-05,2024-06-09 23:00:00+09:00,1.266e-05,EOD,30.116380181668127,99932.47478008065
2024-06-10,1,long,2024-06-10 09:00:00+09:00,1.276e-05,2024-06-10 23:00:00+09:00,1.251e-05,EOD,-13.374966771159837,99919.0998133095
2024-06-11,1,long,2024-06-11 09:00:00+09:00,1.207e-05,2024-06-11 10:00:00+09:00,1.14665e-05,SL,-33.71760000000002,99885.3822133095
2024-06-11,2,short,2024-06-11 10:00:00+09:00,1.14665e-05,2024-06-11 17:00:00+09:00,1.2039825e-05,SL,-67.73760000000001,99817.6446133095
2024-06-11,3,long,2024-06-11 17:00:00+09:00,1.2039825e-05,2024-06-11 23:00:00+09:00,1.206e-05,EOD,1.718352824065155,99819.36296613357
2024-06-12,1,long,2024-06-12 09:00:00+09:00,1.274e-05,2024-06-12 23:00:00+09:00,1.364e-05,EOD,46.99299654631082,99866.35596267988
2024-06-13,1,long,2024-06-13 09:00:00+09:00,1.321e-05,2024-06-13 12:00:00+09:00,1.25495e-05,SL,-33.71759999999999,99832.63836267988
2024-06-13,2,short,2024-06-13 12:00:00+09:00,1.25495e-05,2024-06-13 23:00:00+09:00,1.219e-05,EOD,37.96337613450741,99870.60173881438
2024-06-14,1,long,2024-06-14 09:00:00+09:00,1.192e-05,2024-06-14 23:00:00+09:00,1.162e-05,EOD,-17.10484832214759,99853.49689049223
